"SubNo"	"Hemisphere"	"Block"	"Trial"	"ACC"	"RT"	"Twitches"	"Task"	"Congruence"	"Axes"	"HomLocation"
"1"	1	1	1	1	1	0.428144	1	"Flanker"	"Incong"	"NE.SW"	"FC1.2"
"2"	1	1	1	2	1	0.489587	1	"Flanker"	"Incong"	"NE.SW"	"FC1.2"
"3"	1	1	1	3	1	0.419005	1	"Flanker"	"Cong"	"NE.SW"	"FC1.2"
"4"	1	1	1	4	1	0.348802	1	"Flanker"	"Cong"	"NE.SW"	"FC1.2"
"5"	1	1	1	5	1	0.374758	1	"Flanker"	"Incong"	"NE.SW"	"FC1.2"
"6"	1	1	1	6	1	0.331807	2	"Flanker"	"Incong"	"N.S"	"FC1.2"
"7"	1	1	1	7	1	0.357099	2	"Flanker"	"Cong"	"N.S"	"FC1.2"
"8"	1	1	1	8	1	0.446972	2	"Flanker"	"Incong"	"N.S"	"FC1.2"
"9"	1	1	1	9	1	0.376755	2	"Flanker"	"Cong"	"N.S"	"FC1.2"
"10"	1	1	1	10	1	0.38757	2	"Flanker"	"Cong"	"N.S"	"FC1.2"
"11"	1	1	1	11	1	0.414083	2	"Flanker"	"Cong"	"E.W"	"FC1.2"
"12"	1	1	1	12	1	0.455727	2	"Flanker"	"Incong"	"E.W"	"FC1.2"
"13"	1	1	1	13	1	0.370011	2	"Flanker"	"Cong"	"E.W"	"FC1.2"
"14"	1	1	1	14	1	0.331432	2	"Flanker"	"Incong"	"E.W"	"FC1.2"
"15"	1	1	1	15	1	0.549171	2	"Flanker"	"Cong"	"E.W"	"FC1.2"
"16"	1	1	1	16	1	0.414855	1	"Flanker"	"Incong"	"NW.SE"	"FC1.2"
"17"	1	1	1	17	1	0.360615	1	"Flanker"	"Incong"	"NW.SE"	"FC1.2"
"18"	1	1	1	18	1	0.418152	1	"Flanker"	"Cong"	"NW.SE"	"FC1.2"
"19"	1	1	1	19	1	0.348082	1	"Flanker"	"Cong"	"NW.SE"	"FC1.2"
"20"	1	1	1	20	1	0.377339	1	"Flanker"	"Incong"	"NW.SE"	"FC1.2"
"21"	1	1	2	1	1	0.477663	6	"Flanker"	"Incong"	"NE.SW"	"Inion"
"22"	1	1	2	2	1	0.39135	6	"Flanker"	"Incong"	"NE.SW"	"Inion"
"23"	1	1	2	3	1	0.465578	6	"Flanker"	"Cong"	"NE.SW"	"Inion"
"24"	1	1	2	4	1	0.443629	6	"Flanker"	"Incong"	"NE.SW"	"Inion"
"25"	1	1	2	5	1	0.549326	6	"Flanker"	"Cong"	"NE.SW"	"Inion"
"26"	1	1	2	6	1	0.419093	6	"Flanker"	"Cong"	"E.W"	"Inion"
"27"	1	1	2	7	1	0.508526	6	"Flanker"	"Incong"	"E.W"	"Inion"
"28"	1	1	2	8	1	0.454732	6	"Flanker"	"Incong"	"E.W"	"Inion"
"29"	1	1	2	9	1	0.512379	6	"Flanker"	"Incong"	"E.W"	"Inion"
"30"	1	1	2	10	1	0.426077	6	"Flanker"	"Cong"	"E.W"	"Inion"
"31"	1	1	2	11	1	0.43551	6	"Flanker"	"Incong"	"NW.SE"	"Inion"
"32"	1	1	2	12	1	0.476493	6	"Flanker"	"Incong"	"NW.SE"	"Inion"
"33"	1	1	2	13	1	0.505948	6	"Flanker"	"Cong"	"NW.SE"	"Inion"
"34"	1	1	2	14	1	0.499408	6	"Flanker"	"Cong"	"NW.SE"	"Inion"
"35"	1	1	2	15	1	0.429063	6	"Flanker"	"Cong"	"NW.SE"	"Inion"
"36"	1	1	2	16	1	0.419418	7	"Flanker"	"Incong"	"N.S"	"Inion"
"37"	1	1	2	17	1	0.448534	7	"Flanker"	"Cong"	"N.S"	"Inion"
"38"	1	1	2	18	1	0.490233	7	"Flanker"	"Incong"	"N.S"	"Inion"
"39"	1	1	2	19	1	0.515845	7	"Flanker"	"Cong"	"N.S"	"Inion"
"40"	1	1	2	20	1	0.449178	7	"Flanker"	"Cong"	"N.S"	"Inion"
"41"	1	1	3	1	1	0.587108	2	"Flanker"	"Incong"	"E.W"	"C3.4"
"42"	1	1	3	2	1	0.501164	2	"Flanker"	"Incong"	"E.W"	"C3.4"
"43"	1	1	3	3	1	0.430709	2	"Flanker"	"Cong"	"E.W"	"C3.4"
"44"	1	1	3	4	1	0.428045	2	"Flanker"	"Cong"	"E.W"	"C3.4"
"45"	1	1	3	5	1	0.453664	2	"Flanker"	"Incong"	"E.W"	"C3.4"
"46"	1	1	3	6	1	0.416798	2	"Flanker"	"Cong"	"NE.SW"	"C3.4"
"47"	1	1	3	7	1	0.410662	2	"Flanker"	"Cong"	"NE.SW"	"C3.4"
"48"	1	1	3	8	1	0.340627	2	"Flanker"	"Incong"	"NE.SW"	"C3.4"
"49"	1	1	3	9	1	0.318373	2	"Flanker"	"Cong"	"NE.SW"	"C3.4"
"50"	1	1	3	10	1	0.504156	2	"Flanker"	"Incong"	"NE.SW"	"C3.4"
"51"	1	1	3	11	1	0.356489	1	"Flanker"	"Cong"	"NW.SE"	"C3.4"
"52"	1	1	3	12	1	0.398453	1	"Flanker"	"Incong"	"NW.SE"	"C3.4"
"53"	1	1	3	13	1	0.408244	1	"Flanker"	"Cong"	"NW.SE"	"C3.4"
"54"	1	1	3	14	1	0.450223	1	"Flanker"	"Incong"	"NW.SE"	"C3.4"
"55"	1	1	3	15	1	0.41184	1	"Flanker"	"Cong"	"NW.SE"	"C3.4"
"56"	1	1	3	16	1	0.39059	2	"Flanker"	"Incong"	"N.S"	"C3.4"
"57"	1	1	3	17	1	0.388172	2	"Flanker"	"Cong"	"N.S"	"C3.4"
"58"	1	1	3	18	1	0.446135	2	"Flanker"	"Incong"	"N.S"	"C3.4"
"59"	1	1	3	19	1	0.359746	2	"Flanker"	"Cong"	"N.S"	"C3.4"
"60"	1	1	3	20	1	0.386352	2	"Flanker"	"Incong"	"N.S"	"C3.4"
"61"	1	1	4	1	1	0.404212	3	"Flanker"	"Incong"	"NE.SW"	"V5"
"62"	1	1	4	2	1	0.399004	3	"Flanker"	"Cong"	"NE.SW"	"V5"
"63"	1	1	4	3	1	0.408036	3	"Flanker"	"Incong"	"NE.SW"	"V5"
"64"	1	1	4	4	1	0.449609	3	"Flanker"	"Cong"	"NE.SW"	"V5"
"65"	1	1	4	5	1	0.443501	3	"Flanker"	"Incong"	"NE.SW"	"V5"
"66"	1	1	4	6	1	0.405634	3	"Flanker"	"Cong"	"N.S"	"V5"
"67"	1	1	4	7	1	0.383201	3	"Flanker"	"Incong"	"N.S"	"V5"
"68"	1	1	4	8	1	0.424926	3	"Flanker"	"Cong"	"N.S"	"V5"
"69"	1	1	4	9	1	0.434673	3	"Flanker"	"Incong"	"N.S"	"V5"
"70"	1	1	4	10	1	0.396386	3	"Flanker"	"Cong"	"N.S"	"V5"
"71"	1	1	4	11	1	0.450111	2	"Flanker"	"Incong"	"E.W"	"V5"
"72"	1	1	4	12	1	0.459401	2	"Flanker"	"Incong"	"E.W"	"V5"
"73"	1	1	4	13	1	0.421253	2	"Flanker"	"Incong"	"E.W"	"V5"
"74"	1	1	4	14	1	0.479479	2	"Flanker"	"Cong"	"E.W"	"V5"
"75"	1	1	4	15	1	0.473229	2	"Flanker"	"Cong"	"E.W"	"V5"
"76"	1	1	4	16	1	0.496897	4	"Flanker"	"Cong"	"NW.SE"	"V5"
"77"	1	1	4	17	1	0.411344	4	"Flanker"	"Incong"	"NW.SE"	"V5"
"78"	1	1	4	18	1	0.404086	4	"Flanker"	"Cong"	"NW.SE"	"V5"
"79"	1	1	4	19	1	0.493767	4	"Flanker"	"Incong"	"NW.SE"	"V5"
"80"	1	1	4	20	1	0.439612	4	"Flanker"	"Cong"	"NW.SE"	"V5"
"81"	1	1	5	1	1	0.470093	4	"Flanker"	"Incong"	"N.S"	"LatIn"
"82"	1	1	5	2	1	0.574229	4	"Flanker"	"Cong"	"N.S"	"LatIn"
"83"	1	1	5	3	1	0.440199	4	"Flanker"	"Cong"	"N.S"	"LatIn"
"84"	1	1	5	4	1	0.529893	4	"Flanker"	"Incong"	"N.S"	"LatIn"
"85"	1	1	5	5	1	0.508009	4	"Flanker"	"Cong"	"N.S"	"LatIn"
"86"	1	1	5	6	1	0.478781	5	"Flanker"	"Incong"	"NE.SW"	"LatIn"
"87"	1	1	5	7	1	0.488261	5	"Flanker"	"Incong"	"NE.SW"	"LatIn"
"88"	1	1	5	8	1	0.518509	5	"Flanker"	"Cong"	"NE.SW"	"LatIn"
"89"	1	1	5	9	1	0.479652	5	"Flanker"	"Cong"	"NE.SW"	"LatIn"
"90"	1	1	5	10	1	0.569492	5	"Flanker"	"Incong"	"NE.SW"	"LatIn"
"91"	1	1	5	11	1	0.403543	2	"Flanker"	"Cong"	"E.W"	"LatIn"
"92"	1	1	5	12	1	0.444634	2	"Flanker"	"Cong"	"E.W"	"LatIn"
"93"	1	1	5	13	1	0.454376	2	"Flanker"	"Cong"	"E.W"	"LatIn"
"94"	1	1	5	14	1	0.400247	2	"Flanker"	"Incong"	"E.W"	"LatIn"
"95"	1	1	5	15	1	0.426495	2	"Flanker"	"Incong"	"E.W"	"LatIn"
"96"	1	1	5	16	1	0.518029	3	"Flanker"	"Incong"	"NW.SE"	"LatIn"
"97"	1	1	5	17	1	0.512251	3	"Flanker"	"Incong"	"NW.SE"	"LatIn"
"98"	1	1	5	18	1	0.505701	3	"Flanker"	"Cong"	"NW.SE"	"LatIn"
"99"	1	1	5	19	1	0.467794	3	"Flanker"	"Cong"	"NW.SE"	"LatIn"
"100"	1	1	5	20	1	0.381084	3	"Flanker"	"Incong"	"NW.SE"	"LatIn"
"101"	1	1	6	1	1	0.509239	4	"Flanker"	"Incong"	"NW.SE"	"FC5.6"
"102"	1	1	6	2	1	0.471625	4	"Flanker"	"Cong"	"NW.SE"	"FC5.6"
"103"	1	1	6	3	1	0.59362	4	"Flanker"	"Cong"	"NW.SE"	"FC5.6"
"104"	1	1	6	4	1	0.682923	4	"Flanker"	"Cong"	"NW.SE"	"FC5.6"
"105"	1	1	6	5	1	0.48474	4	"Flanker"	"Incong"	"NW.SE"	"FC5.6"
"106"	1	1	6	6	1	0.544175	2	"Flanker"	"Incong"	"NE.SW"	"FC5.6"
"107"	1	1	6	7	1	0.459283	2	"Flanker"	"Cong"	"NE.SW"	"FC5.6"
"108"	1	1	6	8	1	0.516231	2	"Flanker"	"Incong"	"NE.SW"	"FC5.6"
"109"	1	1	6	9	1	0.509791	2	"Flanker"	"Cong"	"NE.SW"	"FC5.6"
"110"	1	1	6	10	1	0.455651	2	"Flanker"	"Cong"	"NE.SW"	"FC5.6"
"111"	1	1	6	11	1	0.406059	1	"Flanker"	"Cong"	"E.W"	"FC5.6"
"112"	1	1	6	12	1	0.371074	1	"Flanker"	"Cong"	"E.W"	"FC5.6"
"113"	1	1	6	13	1	0.380368	1	"Flanker"	"Incong"	"E.W"	"FC5.6"
"114"	1	1	6	14	1	0.470235	1	"Flanker"	"Incong"	"E.W"	"FC5.6"
"115"	1	1	6	15	1	0.480331	1	"Flanker"	"Incong"	"E.W"	"FC5.6"
"116"	1	1	6	16	1	0.388272	5	"Flanker"	"Incong"	"N.S"	"FC5.6"
"117"	1	1	6	17	1	0.381757	5	"Flanker"	"Incong"	"N.S"	"FC5.6"
"118"	1	1	6	18	1	0.423271	5	"Flanker"	"Cong"	"N.S"	"FC5.6"
"119"	1	1	6	19	1	0.465651	5	"Flanker"	"Cong"	"N.S"	"FC5.6"
"120"	1	1	6	20	1	0.587361	5	"Flanker"	"Incong"	"N.S"	"FC5.6"
"121"	1	1	7	1	1	0.454194	2	"Flanker"	"Cong"	"N.S"	"AF"
"122"	1	1	7	2	1	0.416257	2	"Flanker"	"Cong"	"N.S"	"AF"
"123"	1	1	7	3	1	0.378045	2	"Flanker"	"Incong"	"N.S"	"AF"
"124"	1	1	7	4	1	0.451457	2	"Flanker"	"Incong"	"N.S"	"AF"
"125"	1	1	7	5	1	0.413262	2	"Flanker"	"Incong"	"N.S"	"AF"
"126"	1	1	7	6	1	0.360125	1	"Flanker"	"Incong"	"NW.SE"	"AF"
"127"	1	1	7	7	1	0.341114	1	"Flanker"	"Incong"	"NW.SE"	"AF"
"128"	1	1	7	8	1	0.335141	1	"Flanker"	"Cong"	"NW.SE"	"AF"
"129"	1	1	7	9	1	0.32887	1	"Flanker"	"Cong"	"NW.SE"	"AF"
"130"	1	1	7	10	1	0.258502	1	"Flanker"	"Incong"	"NW.SE"	"AF"
"131"	1	1	7	11	1	0.367993	2	"Flanker"	"Cong"	"E.W"	"AF"
"132"	1	1	7	12	1	0.293305	2	"Flanker"	"Cong"	"E.W"	"AF"
"133"	1	1	7	13	1	0.51166	2	"Flanker"	"Incong"	"E.W"	"AF"
"134"	1	1	7	14	1	0.408755	2	"Flanker"	"Incong"	"E.W"	"AF"
"135"	1	1	7	15	1	0.370556	2	"Flanker"	"Cong"	"E.W"	"AF"
"136"	1	1	7	16	1	0.385032	1	"Flanker"	"Incong"	"NE.SW"	"AF"
"137"	1	1	7	17	1	0.330798	1	"Flanker"	"Cong"	"NE.SW"	"AF"
"138"	1	1	7	18	1	0.388337	1	"Flanker"	"Incong"	"NE.SW"	"AF"
"139"	1	1	7	19	1	0.334232	1	"Flanker"	"Cong"	"NE.SW"	"AF"
"140"	1	1	7	20	1	0.375973	1	"Flanker"	"Cong"	"NE.SW"	"AF"
"141"	1	1	8	1	1	0.407175	4	"Flanker"	"Cong"	"N.S"	"TPJ"
"142"	1	1	8	2	1	0.41745	4	"Flanker"	"Incong"	"N.S"	"TPJ"
"143"	1	1	8	3	1	0.363121	4	"Flanker"	"Cong"	"N.S"	"TPJ"
"144"	1	1	8	4	1	0.341297	4	"Flanker"	"Cong"	"N.S"	"TPJ"
"145"	1	1	8	5	1	0.574194	4	"Flanker"	"Incong"	"N.S"	"TPJ"
"146"	1	1	8	6	1	0.425332	3	"Flanker"	"Incong"	"NE.SW"	"TPJ"
"147"	1	1	8	7	1	0.385549	3	"Flanker"	"Incong"	"NE.SW"	"TPJ"
"148"	1	1	8	8	1	0.304647	3	"Flanker"	"Cong"	"NE.SW"	"TPJ"
"149"	1	1	8	9	1	0.357794	3	"Flanker"	"Incong"	"NE.SW"	"TPJ"
"150"	1	1	8	10	1	0.415967	3	"Flanker"	"Cong"	"NE.SW"	"TPJ"
"151"	1	1	8	11	1	0.404052	4	"Flanker"	"Cong"	"NW.SE"	"TPJ"
"152"	1	1	8	12	1	0.398514	4	"Flanker"	"Cong"	"NW.SE"	"TPJ"
"153"	1	1	8	13	1	0.487677	4	"Flanker"	"Cong"	"NW.SE"	"TPJ"
"154"	1	1	8	14	1	0.450794	4	"Flanker"	"Incong"	"NW.SE"	"TPJ"
"155"	1	1	8	15	1	0.491767	4	"Flanker"	"Incong"	"NW.SE"	"TPJ"
"156"	1	1	8	16	1	0.500735	2	"Flanker"	"Incong"	"E.W"	"TPJ"
"157"	1	1	8	17	1	0.431554	2	"Flanker"	"Incong"	"E.W"	"TPJ"
"158"	1	1	8	18	1	0.456775	2	"Flanker"	"Cong"	"E.W"	"TPJ"
"159"	1	1	8	19	1	0.46629	2	"Flanker"	"Incong"	"E.W"	"TPJ"
"160"	1	1	8	20	1	0.427967	2	"Flanker"	"Cong"	"E.W"	"TPJ"
"161"	1	1	9	1	1	0.415359	2	"Flanker"	"Cong"	"NE.SW"	"FP"
"162"	1	1	9	2	1	0.457071	2	"Flanker"	"Incong"	"NE.SW"	"FP"
"163"	1	1	9	3	1	0.40257	2	"Flanker"	"Cong"	"NE.SW"	"FP"
"164"	1	1	9	4	1	0.412654	2	"Flanker"	"Incong"	"NE.SW"	"FP"
"165"	1	1	9	5	1	0.358311	2	"Flanker"	"Incong"	"NE.SW"	"FP"
"166"	1	1	9	6	1	0.403864	4	"Flanker"	"Incong"	"N.S"	"FP"
"167"	1	1	9	7	1	0.461468	4	"Flanker"	"Cong"	"N.S"	"FP"
"168"	1	1	9	8	1	0.503649	4	"Flanker"	"Incong"	"N.S"	"FP"
"169"	1	1	9	9	1	0.497339	4	"Flanker"	"Incong"	"N.S"	"FP"
"170"	1	1	9	10	1	0.379477	4	"Flanker"	"Cong"	"N.S"	"FP"
"171"	1	1	9	11	1	0.354857	2	"Flanker"	"Incong"	"E.W"	"FP"
"172"	1	1	9	12	1	0.364489	2	"Flanker"	"Cong"	"E.W"	"FP"
"173"	1	1	9	13	1	0.358406	2	"Flanker"	"Cong"	"E.W"	"FP"
"174"	1	1	9	14	1	0.384262	2	"Flanker"	"Cong"	"E.W"	"FP"
"175"	1	1	9	15	1	0.426275	2	"Flanker"	"Incong"	"E.W"	"FP"
"176"	1	1	9	16	1	0.355412	1	"Flanker"	"Cong"	"NW.SE"	"FP"
"177"	1	1	9	17	1	0.317048	1	"Flanker"	"Cong"	"NW.SE"	"FP"
"178"	1	1	9	18	1	0.311244	1	"Flanker"	"Incong"	"NW.SE"	"FP"
"179"	1	1	9	19	1	0.304729	1	"Flanker"	"Cong"	"NW.SE"	"FP"
"180"	1	1	9	20	1	0.346641	1	"Flanker"	"Incong"	"NW.SE"	"FP"
"181"	1	1	10	1	1	0.321909	1	"Flanker"	"Incong"	"NW.SE"	"F3.4"
"182"	1	1	10	2	1	0.364512	1	"Flanker"	"Cong"	"NW.SE"	"F3.4"
"183"	1	1	10	3	1	0.374415	1	"Flanker"	"Cong"	"NW.SE"	"F3.4"
"184"	1	1	10	4	1	0.464439	1	"Flanker"	"Incong"	"NW.SE"	"F3.4"
"185"	1	1	10	5	1	0.505971	1	"Flanker"	"Incong"	"NW.SE"	"F3.4"
"186"	1	1	10	6	1	0.380571	1	"Flanker"	"Cong"	"NE.SW"	"F3.4"
"187"	1	1	10	7	1	0.342748	1	"Flanker"	"Incong"	"NE.SW"	"F3.4"
"188"	1	1	10	8	1	0.38805	1	"Flanker"	"Incong"	"NE.SW"	"F3.4"
"189"	1	1	10	9	1	0.349566	1	"Flanker"	"Cong"	"NE.SW"	"F3.4"
"190"	1	1	10	10	1	0.391314	1	"Flanker"	"Cong"	"NE.SW"	"F3.4"
"191"	1	1	10	11	1	0.375292	1	"Flanker"	"Incong"	"E.W"	"F3.4"
"192"	1	1	10	12	1	0.352906	1	"Flanker"	"Cong"	"E.W"	"F3.4"
"193"	1	1	10	13	1	0.378515	1	"Flanker"	"Incong"	"E.W"	"F3.4"
"194"	1	1	10	14	1	0.420844	1	"Flanker"	"Cong"	"E.W"	"F3.4"
"195"	1	1	10	15	1	0.39813	1	"Flanker"	"Cong"	"E.W"	"F3.4"
"196"	1	1	10	16	1	0.320374	1	"Flanker"	"Cong"	"N.S"	"F3.4"
"197"	1	1	10	17	1	0.346549	1	"Flanker"	"Cong"	"N.S"	"F3.4"
"198"	1	1	10	18	0	0.308097	1	"Flanker"	"Incong"	"N.S"	"F3.4"
"199"	1	1	10	19	1	0.350379	1	"Flanker"	"Incong"	"N.S"	"F3.4"
"200"	1	1	10	20	1	0.455536	1	"Flanker"	"Incong"	"N.S"	"F3.4"
"201"	1	1	11	1	1	0.516622	1	"Flanker"	"Incong"	"NE.SW"	"P3.4"
"202"	1	1	11	2	1	0.47827	1	"Flanker"	"Cong"	"NE.SW"	"P3.4"
"203"	1	1	11	3	1	0.488139	1	"Flanker"	"Incong"	"NE.SW"	"P3.4"
"204"	1	1	11	4	1	0.450093	1	"Flanker"	"Incong"	"NE.SW"	"P3.4"
"205"	1	1	11	5	1	0.379816	1	"Flanker"	"Cong"	"NE.SW"	"P3.4"
"206"	1	1	11	6	1	0.584481	1	"Flanker"	"Cong"	"NW.SE"	"P3.4"
"207"	1	1	11	7	1	0.402148	1	"Flanker"	"Incong"	"NW.SE"	"P3.4"
"208"	1	1	11	8	1	0.427918	1	"Flanker"	"Incong"	"NW.SE"	"P3.4"
"209"	1	1	11	9	1	0.405982	1	"Flanker"	"Cong"	"NW.SE"	"P3.4"
"210"	1	1	11	10	1	0.400036	1	"Flanker"	"Incong"	"NW.SE"	"P3.4"
"211"	1	1	11	11	1	0.401678	1	"Flanker"	"Cong"	"N.S"	"P3.4"
"212"	1	1	11	12	1	0.411592	1	"Flanker"	"Incong"	"N.S"	"P3.4"
"213"	1	1	11	13	1	0.405396	1	"Flanker"	"Incong"	"N.S"	"P3.4"
"214"	1	1	11	14	1	0.383085	1	"Flanker"	"Cong"	"N.S"	"P3.4"
"215"	1	1	11	15	1	0.376783	1	"Flanker"	"Cong"	"N.S"	"P3.4"
"216"	1	1	11	16	1	0.448391	1	"Flanker"	"Incong"	"E.W"	"P3.4"
"217"	1	1	11	17	1	0.362343	1	"Flanker"	"Incong"	"E.W"	"P3.4"
"218"	1	1	11	18	1	0.389387	1	"Flanker"	"Cong"	"E.W"	"P3.4"
"219"	1	1	11	19	1	0.349594	1	"Flanker"	"Cong"	"E.W"	"P3.4"
"220"	1	1	11	20	1	0.375428	1	"Flanker"	"Cong"	"E.W"	"P3.4"
"221"	1	1	12	1	1	0.402421	0	"Flanker"	"Cong"	"NW.SE"	"FZ"
"222"	1	1	12	2	1	0.39624	0	"Flanker"	"Incong"	"NW.SE"	"FZ"
"223"	1	1	12	3	1	0.406275	0	"Flanker"	"Incong"	"NW.SE"	"FZ"
"224"	1	1	12	4	1	0.351642	0	"Flanker"	"Cong"	"NW.SE"	"FZ"
"225"	1	1	12	5	1	0.457592	0	"Flanker"	"Cong"	"NW.SE"	"FZ"
"226"	1	1	12	6	1	0.448225	0	"Flanker"	"Cong"	"E.W"	"FZ"
"227"	1	1	12	7	1	0.521902	0	"Flanker"	"Cong"	"E.W"	"FZ"
"228"	1	1	12	8	1	0.403995	0	"Flanker"	"Incong"	"E.W"	"FZ"
"229"	1	1	12	9	1	0.461334	0	"Flanker"	"Incong"	"E.W"	"FZ"
"230"	1	1	12	10	1	0.439459	0	"Flanker"	"Incong"	"E.W"	"FZ"
"231"	1	1	12	11	1	0.424617	0	"Flanker"	"Incong"	"NE.SW"	"FZ"
"232"	1	1	12	12	1	0.404377	0	"Flanker"	"Cong"	"NE.SW"	"FZ"
"233"	1	1	12	13	1	0.460714	0	"Flanker"	"Incong"	"NE.SW"	"FZ"
"234"	1	1	12	14	1	0.409235	0	"Flanker"	"Cong"	"NE.SW"	"FZ"
"235"	1	1	12	15	1	0.531827	0	"Flanker"	"Incong"	"NE.SW"	"FZ"
"236"	1	1	12	16	1	0.430491	0	"Flanker"	"Cong"	"N.S"	"FZ"
"237"	1	1	12	17	1	0.42416	0	"Flanker"	"Incong"	"N.S"	"FZ"
"238"	1	1	12	18	1	0.386192	0	"Flanker"	"Cong"	"N.S"	"FZ"
"239"	1	1	12	19	1	0.460011	0	"Flanker"	"Incong"	"N.S"	"FZ"
"240"	1	1	12	20	1	0.405756	0	"Flanker"	"Cong"	"N.S"	"FZ"
"241"	1	1	13	1	1	0.48517	4	"Flanker"	"Incong"	"NE.SW"	"LatOc"
"242"	1	1	13	2	1	0.526488	4	"Flanker"	"Cong"	"NE.SW"	"LatOc"
"243"	1	1	13	3	1	0.344676	4	"Flanker"	"Cong"	"NE.SW"	"LatOc"
"244"	1	1	13	4	1	0.434735	4	"Flanker"	"Incong"	"NE.SW"	"LatOc"
"245"	1	1	13	5	1	0.367662	4	"Flanker"	"Incong"	"NE.SW"	"LatOc"
"246"	1	1	13	6	1	0.563703	6	"Flanker"	"Incong"	"NW.SE"	"LatOc"
"247"	1	1	13	7	1	0.589532	6	"Flanker"	"Incong"	"NW.SE"	"LatOc"
